Japanese,English
ように,like
私は,I
彼の,His
その,the
彼,he
た,Ta
ために,For
上の,Above
アール,Earl
とともに,With
彼ら,they
ある,be
アット,at
一つ,one
持っている,I have it
この,this
から,from
バイ,by
ホット,hot
言葉,words
しかし,but
何,what
いくつかの,Some
です,is
それ,that
あなた,you
または,or
持っていた,I had it
インクルード,Includes
の,of
へ,fart
そして,and
は,teeth
で,in
我々,we
缶,can
アウト,Out
その他,others
だった,It was
これ,this
やる,do
それらの,Those
時間,time
もし,if
意志,will
方法,method
前記,The previous
の,of
それぞれ,each
言う,say
し,death
セット,set
個,Individual
欲しい,want
空気,air
よく,often
また,Also
遊ぶ,play
小さい,small
終わり,end
置く,put
ホーム,Home
読む,read
手,hand
ポート,port
大きい,big
スペル,spell
加える,Add
さらに,moreover
土地,land
ここに,Here
しなければならない,Must do
大きい,big
高い,expensive
そのような,Such a thing
続く,Continued
行為,Action
なぜ,why
頼む,ask
人々,people
変更,change
行ってきました,I went
光,light
種類,kinds
オフ,off
必要,need
家,house
絵,picture
試す,try
私たち,We
再び,again
動物,animal
ポイント,point
母,mother
世界,world
近く,near
ビルド,Build
自己,self
地球,Earth
父,father
任意の,Any
新しい,new
